2026-04-11
,,,,,,,,,,,,,,,,,,,,,,,
PoleId,ParkingSpaceId,Region,Region_tc,Region_sc,District,District_tc,District_sc,SubDistrict,SubDistrict_tc,SubDistrict_sc,Street,Street_tc,Street_sc,SectionOfStreet,SectionOfStreet_tc,SectionOfStreet_sc,Latitude,Longitude,VehicleType,LPP,OperatingPeriod,TimeUnit,PaymentUnit
10075,10075A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,CASTLE PEAK ROAD,青山道,青山道,22.33282317080138,114.1633921091709,A,60,D,15,4.00
10075,10075B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,CASTLE PEAK ROAD,青山道,青山道,22.33278732794657,114.1633645032842,A,60,D,15,4.00
10083,10083A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3387236,114.1531103,A,120,D,15,4.00
10083,10083B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3387559,114.1530713,A,120,D,15,4.00
10084,10084A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3387968,114.1530212,A,120,D,15,4.00
10084,10084B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3388268,114.1529836,A,120,D,15,4.00
10085,10085A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3388694,114.1529297,A,120,D,15,4.00
10085,10085B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3388992,114.1528908,A,120,D,15,4.00
10086,10086A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3386959,114.153001,A,120,D,15,4.00
10086,10086B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3386628,114.1530411,A,120,D,15,4.00
10091,10091A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3389077,114.1527768,G,60,3A,15,2.00
10092,10092A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.338849400,114.152853200,G,60,3A,15,2.00
10092,10092B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.338794800,114.152917600,G,60,3A,15,2.00
101,101A,HONG KONG,香港島,香港岛,SOUTHERN,南區,南区,BAYS AREAS,海灣,海湾,SOUTH BAY ROAD,南灣道,南湾道,SOUTH BAY BEACH,南灣,南湾,22.22441326188373,114.1980084663573,A,120,D,15,4.00
101,101B,HONG KONG,香港島,香港岛,SOUTHERN,南區,南区,BAYS AREAS,海灣,海湾,SOUTH BAY ROAD,南灣道,南湾道,SOUTH BAY BEACH,南灣,南湾,22.22440131796916,114.1979869716244,A,120,D,15,4.00
10112,10112A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,CHEUNG SHA WAN,長沙灣,长沙湾,CAMP STREET,營盤街,营盘街,FUK WING STREET,福榮街,福荣街,22.3339578,114.1598426,A,120,D,15,4.00
10112,10112B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,CHEUNG SHA WAN,長沙灣,长沙湾,CAMP STREET,營盤街,营盘街,FUK WING STREET,福榮街,福荣街,22.3339223,114.1598084,A,120,D,15,4.00
10113,10113A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WING STREET,福榮街,福荣街,KIU KIANG STREET,九江街,九江街,22.3339482,114.1601404,A,120,D,15,4.00
10113,10113B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WING STREET,福榮街,福荣街,KIU KIANG STREET,九江街,九江街,22.3339239,114.1601712,A,120,D,15,4.00
10118,10118A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3389414,114.152839,A,120,D,15,4.00
10118,10118B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3389705,114.1528029,A,120,D,15,4.00
10119,10119A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,"NAM CHEONG EAST ",南昌東,南昌东,FUK WA STREET,福華街,福华街,CHEUNG WAH STREET,昌華街,昌华街,22.3390132,114.1527526,A,120,D,15,4.00
